PITcode,Hatchery,PBTcode
CLEARC,Clearwater,ClearCr
CLWHNF,Clearwater,NFClearwaterR
CLWR,Dworshak,ClearwaterR
CLWRNF,Clearwater,NFClearwaterR
CROOKR,Clearwater,CrookedR
CROTRP,Clearwater,CrookedR
DWORNF,Dworshak,NFClearwaterR
IMNAHR,Lookingglass,Imnaha
IMNAHW,Lookingglass,Imnaha
KNOXB,McCall,SFSalmonR
KOOS,Kooskia,ClearCr
NPTH,NPTH,NPTH
PAHP,Pahsimeroi,PahsimeroiR
POWP,Clearwater,Powell
RAPH,Rapid River,RapidR
REDP,Clearwater,RedR
SAWT,Sawtooth,UpperSalmonR
SELWY1,Clearwater,SelwayR
YANKFK,Sawtooth,YankeeForkSalmonR
