Expansion_Reference	Hatchery	Release_Site	PTAGIS_RelSite	Random	PBTcode	MJB PBT Release Group 1	MJB PBT Release Group 2	MJB PBT Release Group 3	MJB PBT Release Group 4
2013CLEARC1	Clearwater Hat.	Clear Cr	CLEARC	1	ClearCr	2011-CLWH-ClearCr-Smolt			
2013CROOKR0	Clearwater Hat.	Crooked R.	CROOKR	0	CrookedR	2011-CLWH-CrookedR-Smolt			
2013CROOKR1	Clearwater Hat.	Crooked R.	CROOKR	1	CrookedR	2011-CLWH-CrookedR-Smolt			
2013DWORNF0	Dworshak	NF-DHFH	DWORNF	0	NFClearwaterR	2011-DWOR-NFClearwaterR-Smolt			
2013DWORNF1	Dworshak	NF-DHFH	DWORNF	1	NFClearwaterR	2011-DWOR-NFClearwaterR-Smolt			
2013KNOXB0	McCall (Seg)	SFSR-Knox	KNOXB	0	SFSalmonR	2011-SAWT-UpperSalmonR-SegSmolt			
2013KNOXB1	McCall (Seg)	SFSR-Knox	KNOXB	1	SFSalmonR	2011-SAWT-UpperSalmonR-SegSmolt			
2013KNOXB90	McCall (Int)	SFSR-Knox	KNOXB	90	SFSalmonR	2011-SAWT-UpperSalmonR-IntSmolt			
2013KNOXB91	McCall (Int)	SFSR-Knox	KNOXB	91	SFSalmonR	2011-SAWT-UpperSalmonR-IntSmolt			
2013KOOS0	Kooskia - Ad	Clear Cr	KOOS	0	ClearCr	2011-KOOS-ClearCr-Smolt			
2013KOOS1	Kooskia - Ad	Clear Cr	KOOS	1	ClearCr	2011-KOOS-ClearCr-Smolt			
2013PAHP0	Pahsimeroi	Ponds	PAHP	0	PahsimeroiR	2011-PAHH-PahsimeroiR-SegSmolt			
2013PAHP1	Pahsimeroi	Ponds	PAHP	1	PahsimeroiR	2011-PAHH-PahsimeroiR-SegSmolt			
2013POWP1	Clearwater Hat.	Powell	POWP	1	Powell	2011-CLWH-Powell-Smolt			
2013RAPH0	Rapid River	Rapid R. Hat	RAPH	0	RapidR	2011-RAPH-RapidR-Smolt			
2013RAPH1	Rapid River	Rapid R. Hat	RAPH	1	RapidR	2011-RAPH-RapidR-Smolt			
2013REDP1	Clearwater Hat.	Red	REDP	1	RedR	2011-CLWH-RedR-Smolt			
2013SAWT1	Sawtooth	Weir	SAWT	1	UpperSalmonR	2011-SAWT-UpperSalmonR-SegSmolt			
2013SELWY10	Clearwater Hat.	Selway - Ad	SELWY1	0	SelwayR	2011-CLWH-SelwayR-Smolt			
2013SELWY11	Clearwater Hat.	Selway - Ad	SELWY1	1	SelwayR	2011-CLWH-SelwayR-Smolt			
2014CLEARC0	Clearwater Hat.	Clear Cr	CLEARC	0	ClearCr	2012-CLWH-ClearCr-Smolt			
2014CLEARC1	Clearwater Hat.	Clear Cr	CLEARC	1	ClearCr	2012-CLWH-ClearCr-Smolt			
2014DWORNF0	Dworshak	NF-DHFH	DWORNF	0	NFClearwaterR	2012-DWOR-NFClearwaterR-Smolt			
2014DWORNF1	Dworshak	NF-DHFH	DWORNF	1	NFClearwaterR	2012-DWOR-NFClearwaterR-Smolt			
2014KNOXB0	McCall (Seg)	SFSR-Knox	KNOXB	0	SFSalmonR	2012-MCCA-SFSalmonR-SegSmolt			
2014KNOXB1	McCall (Seg)	SFSR-Knox	KNOXB	1	SFSalmonR	2012-MCCA-SFSalmonR-SegSmolt			
2014KNOXB90	McCall (Int)	SFSR-Knox	KNOXB	90	SFSalmonR	2012-MCCA-SFSalmonR-IntSmolt			
2014KNOXB91	McCall (Int)	SFSR-Knox	KNOXB	91	SFSalmonR	2012-MCCA-SFSalmonR-IntSmolt			
2014KOOS0	Kooskia - Ad	Clear Cr	KOOS	0	ClearCr	2012-KOOS-ClearCr-Smolt			
2014KOOS1	Kooskia - Ad	Clear Cr	KOOS	1	ClearCr	2012-KOOS-ClearCr-Smolt			
2014PAHP1	Pahsimeroi	Ponds	PAHP	1	PahsimeroiR	2012-PAHH-PahsimeroiR-SegSmolt			
2014POWP0	Clearwater Hat.	Powell (summers)	POWP	0	Powell	2012-CLWH-Powell-Smolt			
2014POWP1	Clearwater Hat.	Powell (summers)	POWP	1	Powell	2012-CLWH-Powell-Smolt			
2014RAPH0	Rapid River	Rapid R. Hat	RAPH	0	RapidR	2012-RAPH-RapidR-Smolt			
2014RAPH1	Rapid River	Rapid R. Hat	RAPH	1	RapidR	2012-RAPH-RapidR-Smolt			
2014REDP0	Clearwater Hat.	Red	REDP	0	RedR	2012-CLWH-RedR-Smolt			
2014REDP1	Clearwater Hat.	Red	REDP	1	RedR	2012-CLWH-RedR-Smolt			
2014SAWT0	Sawtooth	Weir	SAWT	0	UpperSalmonR	2012-SAWT-UpperSalmonR-SegSmolt			
2014SAWT1	Sawtooth	Weir	SAWT	1	UpperSalmonR	2012-SAWT-UpperSalmonR-SegSmolt			
2014SELWY10	Clearwater Hat.	Selway	SELWY1	0	SelwayR	2012-CLWH-SelwayR-Smolt			
2014SELWY11	Clearwater Hat.	Selway	SELWY1	1	SelwayR	2012-CLWH-SelwayR-Smolt			
2014YANKFK1	Sawtooth	Yankee Fork	YANKFK	1	YankeeForkSalmonR	2012-SAWT-UpperSalmonR-SegSmolt			
2015CLEARC0	Clearwater Hat.	Clear Cr	CLEARC	0	ClearCr	2013-CLWH-Powell-ClearCr	2013-CLWH-SFCW-ClearCr		
2015CLEARC1	Clearwater Hat.	Clear Cr	CLEARC	1	ClearCr	2013-CLWH-Powell-ClearCr	2013-CLWH-SFCW-ClearCr		
2015DWORNF0	Dworshak	NF-DHFH	DWORNF	0	NFClearwaterR	2013-DWOR-DWOR-NFClearwaterR			
2015DWORNF1	Dworshak	NF-DHFH	DWORNF	1	NFClearwaterR	2013-DWOR-DWOR-NFClearwaterR			
2015KNOXB0	McCall (Seg)	SFSR-Knox	KNOXB	0	SFSalmonR	2013-MCCA-SFSW-SFSalmonR-Seg			
2015KNOXB1	McCall (Seg)	SFSR-Knox	KNOXB	1	SFSalmonR	2013-MCCA-SFSW-SFSalmonR-Seg			
2015KNOXB90	McCall (Int)	SFSR-Knox	KNOXB	90	SFSalmonR	2013-MCCA-SFSW-SFSalmonR-Int			
2015KNOXB91	McCall (Int)	SFSR-Knox	KNOXB	91	SFSalmonR	2013-MCCA-SFSW-SFSalmonR-Int			
2015KOOS0	Kooskia - Ad	Clear Cr	KOOS	0	ClearCr	2013-KOOS-KOOS-ClearCr			
2015PAHP0	Pahsimeroi	Ponds	PAHP	0	PahsimeroiR	2013-PAHH-PAH-PahsimeroiR-Seg			
2015PAHP1	Pahsimeroi	Ponds	PAHP	1	PahsimeroiR	2013-PAHH-PAH-PahsimeroiR-Seg			
2015POWP0	Clearwater Hat.	Powell (summers)	POWP	0	Powell	2013-CLWH-SFSW-Powell-AD	2013-CLWH-SFSW-Powell-Adint	2013-CLWH-SFSW-Powell	
2015POWP1	Clearwater Hat.	Powell (summers)	POWP	1	Powell	2013-CLWH-SFSW-Powell-AD	2013-CLWH-SFSW-Powell-Adint	2013-CLWH-SFSW-Powell	
2015RAPH0	Rapid River	Rapid R. Hat	RAPH	0	RapidR	2013-RAPH-RAPH-RapidR			
2015RAPH1	Rapid River	Rapid R. Hat	RAPH	1	RapidR	2013-RAPH-RAPH-RapidR			
2015REDP0	Clearwater Hat.	Red	REDP	0	RedR	2013-CLWH-RAPH-RedR	2013-CLWH-SFCW-RedR		
2015REDP1	Clearwater Hat.	Red	REDP	1	RedR	2013-CLWH-RAPH-RedR	2013-CLWH-SFCW-RedR		
2015SAWT0	Sawtooth	Weir	SAWT	0	UpperSalmonR	2013-SAWT-SAW-UpperSalmonR-Seg			
2015SAWT1	Sawtooth	Weir	SAWT	1	UpperSalmonR	2013-SAWT-SAW-UpperSalmonR-Seg			
2015SELWY10	Clearwater Hat.	Selway	SELWY1	0	SelwayR	2013-CLWH-SFCW-SelwayR			
2015SELWY11	Clearwater Hat.	Selway	SELWY1	1	SelwayR	2013-CLWH-SFCW-SelwayR			
2016CLEARC0	Clearwater Hat.	Clear Cr	CLEARC	0	ClearCr	2014-CLWH-Powell-ClearCr	2014-CLWH-SFCW-ClearCr		
2016CLEARC1	Clearwater Hat.	Clear Cr	CLEARC	1	ClearCr	2014-CLWH-Powell-ClearCr	2014-CLWH-SFCW-ClearCr		
2016CLWHNF0	Clearwater Hat.	NF Clearwater	CLWHNF	0	NFClearwaterR	2014-CLWH-SFCW-NFClearwaterR			
2016CLWHNF1	Clearwater Hat.	NF Clearwater	CLWHNF	1	NFClearwaterR	2014-CLWH-SFCW-NFClearwaterR			
2016DWORNF0	Dworshak	NF-DHFH	DWORNF	0	NFClearwaterR	2014-DWOR-DWOR-NFClearwaterR			
2016DWORNF1	Dworshak	NF-DHFH	DWORNF	1	NFClearwaterR	2014-DWOR-DWOR-NFClearwaterR			
2016KNOXB0	McCall (Seg)	SFSR-Knox	KNOXB	0	SFSalmonR	2014-MCCA-SFSalmon-Knox-Seg			
2016KNOXB1	McCall (Seg)	SFSR-Knox	KNOXB	1	SFSalmonR	2014-MCCA-SFSalmon-Knox-Seg			
2016KNOXB90	McCall (Int)	SFSR-Knox	KNOXB	90	SFSalmonR	2014-MCCA-SFSalmon-Knox-Int			
2016KNOXB91	McCall (Int)	SFSR-Knox	KNOXB	91	SFSalmonR	2014-MCCA-SFSalmon-Knox-Int			
2016KOOS0	Kooskia	Clear Cr	KOOS	0	ClearCr	2014-KOOS-KOOS-ClearCr	2014-DWOR-DWOR-ClearCr		
2016KOOS1	Kooskia	Clear Cr	KOOS	1	ClearCr	2014-KOOS-KOOS-ClearCr	2014-DWOR-DWOR-ClearCr		
2016PAHP0	Pahsimeroi	Ponds	PAHP	0	PahsimeroiR	2014-PAHH-PAHH-PahsimeroiR-Seg			
2016PAHP1	Pahsimeroi	Ponds	PAHP	1	PahsimeroiR	2014-PAHH-PAHH-PahsimeroiR-Seg			
2016POWP0	Clearwater Hat.	Powell (summers)	POWP	0	Powell	2014-CLWH-CrookedR-Powell			
2016POWP1	Clearwater Hat.	Powell (summers)	POWP	1	Powell	2014-CLWH-CrookedR-Powell			
2016RAPH0	Rapid River	Rapid R. Hat	RAPH	0	RapidR	2014-RAPH-RAPH-RapidR			
2016RAPH1	Rapid River	Rapid R. Hat	RAPH	1	RapidR	2014-RAPH-RAPH-RapidR			
2016REDP0	Clearwater Hat.	Red	REDP	0	RedR	2014-CLWH-SFCW-RedR			
2016REDP1	Clearwater Hat.	Red	REDP	1	RedR	2014-CLWH-SFCW-RedR			
2016SAWT0	Sawtooth	Weir	SAWT	0	UpperSalmonR	2014-SAWT-SAW-UpperSalmonR-Seg			
2016SAWT1	Sawtooth	Weir	SAWT	1	UpperSalmonR	2014-SAWT-SAW-UpperSalmonR-Seg			
2016SELWY10	Clearwater Hat.	Selway	SELWY1	0	SelwayR	2014-CLWH-Powell-SelwayR-AD	2014-CLWH-Powell-SelwayR-Adint	2014-CLWH-Powell-SelwayR-AD/Adint	
2016SELWY11	Clearwater Hat.	Selway	SELWY1	1	SelwayR	2014-CLWH-Powell-SelwayR-AD	2014-CLWH-Powell-SelwayR-Adint	2014-CLWH-Powell-SelwayR-AD/Adint	
