Expansion_Reference	Hatchery	Release_Site	Migr._Year	Hatch._Release	Total_PIT_Release	PIT_Release_RAL	RAL_Expansion	Row	PTAGIS_RelSite	Random
2006KNOXB1	McCall	SFSR-Knox	2006	1094264	51895	34489	31.2	2	KNOXB	1
2007KNOXB1	McCall	SFSR-Knox	2007	1087170	51726	34534	31	3	KNOXB	1
2008KNOXB1	McCall	SFSR-Knox	2008	1060540	51678	36239	28.8	4	KNOXB	1
2006RAPH1	Rapid River	Rapid R. Hat	2006	2530528	96975	34537	71.5	5	RAPH	1
2007RAPH1	Rapid River	Rapid R. Hat	2007	2396602	109675	34731	66.8	6	RAPH	1
2008RAPH1	Rapid River	Rapid R. Hat	2008	2493719	117587	102074	24.3	7	RAPH	1
2006DWORNF1	Dworshak	NF-DHFH	2006	1007738	92548	34490	27.5	8	DWORNF	1
2007DWORNF1	Dworshak	NF-DHFH	2007	963211	104193	31174	28.6	9	DWORNF	1
2008DWORNF1	Dworshak	NF-DHFH	2008	939000	49384	34729	26.6	10	DWORNF	1
2006POWP1	Clearwater Hat.	Powell	2006	423633	14967	13470	31.3	11	POWP	1
2007POWP1	Clearwater Hat.	Powell	2007	373977	14971	13474	27.6	12	POWP	1
2008POWP1	Clearwater Hat.	Powell	2008	223714	33741	31341	7.1	13	POWP	1
2006REDP1	Clearwater Hat.	Red	2006	423603	14973	13476	31.3	14	REDP	1
2007REDP1	Clearwater Hat.	Red	2007	375759	14978	13480	27.8	15	REDP	1
2008REDP1	Clearwater Hat.	Red	2008	424719	11985	10805	39.2	16	REDP	1
2006CROOKR1	Clearwater Hat.	Crooked	2006	608472	14978	13480	45	17	CROOKR	1
2007CROOKR1	Clearwater Hat.	Crooked	2007	517092	14969	13472	38.3	18	CROOKR	1
2008CROTRP1	Clearwater Hat.	Crooked	2008	566752	11987	10789	52.4	19	CROTRP	1
2006SELWY11	Clearwater Hat.	Selway	2006	209842	0	0	0	20	SELWY1	1
2007SELWY11	Clearwater Hat.	Selway	2007	179432	0	0	0	21	SELWY1	1
2008SELWY11	Clearwater Hat.	Selway	2008	205659	8974	8095	25.3	22	SELWY1	1
2007SAWT1	Sawtooth	Weir	2007	995262	14970	13473	73.8	23	SAWT	1
2008SAWT1	Sawtooth	Weir	2008	174132	14961	13466	12.8	24	SAWT	1
2008PAHP1	Pahsimeroi	Ponds	2008	1037772	14833	13350	77.6	25	PAHP	1
2006KOOS1	Kooskia	Clear Cr	2006	630000	800	0	0	26	KOOS	1
2007KOOS1	Kooskia	Clear Cr	2007	569565	9943	9892	57.6	27	KOOS	1
2008KOOS1	Kooskia	Clear Cr	2008	649601	9935	9900	65.6	28	KOOS	1
2006SAWT1	Sawtooth	Weir	2006	1552444	500	0	0	29	SAWT	1
2007PAHP1	Pahsimeroi	Ponds	2007	978463	498	0	0	30	PAHP	1
2006PAHP1	Pahsimeroi	Ponds	2006	1073951	298	0	0	31	PAHP	1
2009KNOXB1	McCall	SFSR-Knox	2009	1106700	51496	36146	30.2	32	KNOXB	1
2009RAPH1	Rapid River	Rapid R. Hat	2009	2503711	51774	36189	68.8	33	RAPH	1
2009DWORNF1	Dworshak	NF-DHFH	2009	1014748	51599	36245	27.6	34	DWORNF	1
2009POWP1	Clearwater Hat.	Powell	2009	404115	11985	9019	44.5	35	POWP	1
2009REDP1	Clearwater Hat.	Red	2009	404856	15092	11356	35.3	36	REDP	1
2009CROOKR1	Clearwater Hat.	Crooked	2009	703101	15089	11354	61.6	37	CROOKR	1
2009SELWY11	Clearwater Hat.	Selway	2009	299707	9981	7511	39.6	38	SELWY1	1
2009CLEARC1	Clearwater Hat.	Clear Cr	2009	234151	11556	8696	26.6	39	CLEARC	1
2009SAWT1	Sawtooth	Weir	2009	274644	18671	13503	20	40	SAWT	1
2009PAHP1	Pahsimeroi	Ponds	2009	870842	18750	13500	64.1	41	PAHP	1
2009KOOS1	Kooskia	Clear Cr	2009	603679	11580	9910	60.7	42	KOOS	1
2010KNOXB1	McCall	SFSR-Knox	2010	1037600	51875	36374	28.1	43	KNOXB	1
2010RAPH1	Rapid River	Rapid R. Hat	2010	2492454	51939	36424	68	44	RAPH	1
2010DWORNF1	Dworshak	NF-DHFH	2010	1109195	51880	36378	30.1	45	DWORNF	1
2010POWP1	Clearwater Hat.	Powell	2010	413158	18182	12728	32	46	POWP	1
2010REDP1	Clearwater Hat.	Red	2010	1206110	18175	12723	94.4	47	REDP	1
2010SELWY11	Clearwater Hat.	Selway	2010	402160	18188	12732	31.2	48	SELWY1	1
2010CLEARC1	Clearwater Hat.	Clear Cr	2010	229605	18178	12725	17.6	49	CLEARC	1
2010SAWT1	Sawtooth	Weir	2010	1455634	16939	11877	122.1	50	SAWT	1
2010YANKFK1	Sawtooth	Yankee Fork	2010	398444	4344	3047	130.3	51	YANKFK	1
2010PAHP1	Pahsimeroi	Ponds	2010	1169701	21379	14965	77.7	52	PAHP	1
2010KOOS1	Kooskia	Clear Cr	2010	632330	14543	13791	45.8	53	KOOS	1
2011KNOXB1	McCall	SFSR-Knox	2011	1069028	51878	36415	28.9	54	KNOXB	1
2011RAPH1	Rapid River	Rapid R. Hat	2011	2483181	51730	36331	67.9	55	RAPH	1
2011DWORNF1	Dworshak	NF-DHFH	2011	1078250	51915	36407	29.2	56	DWORNF	1
2011POWP1	Clearwater Hat.	Powell	2011	413757	17089	11965	34.2	57	POWP	1
2011REDP1	Clearwater Hat.	Red	2011	1114760	17060	11939	92.9	58	REDP	1
2011SELWY11	Clearwater Hat.	Selway / All	2011	414270	17083	11958	34.2	59	SELWY1	1
2011CLEARC1	Clearwater Hat.	Clear Cr	2011	291604	17095	11966	23.9	60	CLEARC	1
2011CROOKR1	Clearwater Hat.	Crooked R.	2011	204061	25488	17841	11	61	CROOKR	1
2011SAWT1	Sawtooth	Weir	2011	1337302	18968	13277	100.3	62	SAWT	1
2011YANKFK1	Sawtooth	Yankee Fork	2011	397877	2397	1678	236.7	63	YANKFK	1
2011PAHP1	Pahsimeroi	Ponds	2011	1030028	21131	14797	69.2	64	PAHP	1
2011KOOS1	Kooskia	Clear Cr	2011	657267	13932	12969	50.6	65	KOOS	1
2011NPTH1	NPTH	NPTH	2011	251625	6244	5946	42.3	66	NPTH	1
2012KNOXB1	McCall	SFSR-Knox	2012	787088	25955	18237	42.7	67	KNOXB	1
2012RAPH1	Rapid River	Rapid R. Hat	2012	2498197	51938	36431	68.1	68	RAPH	1
2012DWORNF1	Dworshak	NF-DHFH	2012	1044080	51787	35953	28.6	69	DWORNF	1
2012POWP1	Clearwater Hat.	Powell	2012	407970	17121	12034	33.5	70	POWP	1
2012REDP1	Clearwater Hat.	Red	2012	1122939	17045	11953	93.5	71	REDP	1
2012SELWY11	Clearwater Hat.	Selway / All	2012	415369	16978	11889	34.5	72	SELWY1	1
2012CLEARC1	Clearwater Hat.	Clear Cr	2012	234511	17087	11964	19.2	73	CLEARC	1
2012CROOKR1	Clearwater Hat.	Crooked R.	2012	206317	25482	17846	11.1	74	CROOKR	1
2012SAWT1	Sawtooth	Weir	2012	1080164	18051	12635	85.1	75	SAWT	1
2012YANKFK1	Sawtooth	Yankee Fork	2012	197036	3381	2372	82.6	76	YANKFK	1
2012PAHP1	Pahsimeroi	Ponds	2012	847580	21362	14964	56.2	77	PAHP	1
2012KOOS1	Kooskia	Clear Cr	2012	619865	15022	13971	44.3	78	KOOS	1
2012KNOXB91	McCall (Int)	SFSR-Knox	2012	241265	25962	18102	12.9	91	KNOXB	91
2011IMNAHW1	Imnaha (Volitional)	Imnaha Weir	2011	252588	20757	14570	16.9	92	IMNAHW	1
2012IMNAHW1	Imnaha (Volitional)	Imnaha Weir	2012	332877	14881	10430	31.5	93	IMNAHW	1
2012IMNAHR1	Imnaha (Direct)	Imnaha River	2012	136933	5938	4120	32.8	94	IMNAHR	1
2013IMNAHW1	Imnaha (Volitional)	Imnaha Weir	2013	223626	11956	8367	26.3	95	IMNAHW	1
2013IMNAHR1	Imnaha (Direct)	Imnaha River	2013	166979	8940	6272	26.2	96	IMNAHR	1
2015KOOS1	Kooskia - Ad	Clear Cr	2015	661441	5793	4085	161.5	119	KOOS	1
2015YANKFK1	Sawtooth	Yankee Fork	2015	183379	2496	1747	104.5	120	YANKFK	1
2017KOOS1	Kooskia	Clear Cr	2017	628907	7910	5537	113.2	145	KOOS	1
2017YANKFK1	Sawtooth	Yankee Fork	2017	188280	2490	1743	107.6	146	YANKFK	1
2019KNOXB1	McCall (Seg)	SFSR-Knox	2019	947076	25876	18113	51.9	160	KNOXB	1
2019KNOXB91	McCall (Int)	SFSR-Knox	2019	159911	25808	18066	8.4	161	KNOXB	91
2019RAPH1	Rapid River	Rapid R. Hat	2019	2504018	51428	36000	69.1	162	RAPH	1
2019DWORNF1	Dworshak	NF-DHFH	2019	1716951	41945	29362	58	163	DWORNF	1
2019POWP1	Clearwater Hat.	Powell (summers)	2019	624403	25389	17772	34.7	164	POWP	1
2019REDP1	Clearwater Hat.	Red	2019	606686	8461	5923	102	165	REDP	1
2019SELWY11	Clearwater Hat.	Selway	2019	402570	17029	11920	33.3	166	SELWY1	1
2019CLEARC1	Clearwater Hat.	Clear Cr	2019	691051	9741	6819	100.9	167	CLEARC	1
2019CLWHNF1	Clearwater Hat.	NF Clearwater	2019	544153	17065	11946	45.1	168	CLWHNF	1
2019CLWHNF1	Clearwater Hat.	REDP NF Clearwater	2019	574038	8600	6020	94.9	169	CLWHNF	1
2019SAWT1	Sawtooth	Weir	2019	919070	18880	13216	69.1	170	SAWT	1
2019PAHP1	Pahsimeroi	Ponds	2019	733083	21221	14855	48.9	171	PAHP	1
2019KOOS1	Kooskia	Clear Cr	2019	654664	7908	5536	117.8	172	KOOS	1
2019YANKFK1	Sawtooth	Yankee Fork	2019	94366	2473	1731	54.1	173	YANKFK	1
2006KNOXB0	McCall	SFSR-Knox	2006	1094264	51895	34489	1	2	KNOXB	0
