PBT_RELEASE_GROUP	Pedigree_name	n
CatherineCr-Smolt	OtsLOOK12S	9
ClearCr-Smolt	OtsDWOR11S	14
ClearCr-Smolt	OtsDWOR12S	94
ClearCr-Smolt	OtsPOWP11S	4
ClearCr-Smolt	OtsPOWP12S	78
CrookedR-Smolt	OtsMCCA11S	7
GrandeRondeR-Smolt	OtsGRUW11S	10
GrandeRondeR-Smolt	OtsLOOK12S	39
ImnahaR-Smolt	OtsIMNW11S	11
ImnahaR-Smolt	OtsLOOK12S	47
JohnsonCr-Smolt	OtsJHNW11S	11
JohnsonCr-Smolt	OtsJHNW12S	13
LoloNewsomeMeadow-Parr	OtsNPFH11S	12
LoloNewsomeMeadow-Parr	OtsNPFH12S	24
LookingglassCr-Smolt	OtsLOOK11S	4
LookingglassCr-Smolt	OtsLOOK12S	32
LostineR-Smolt	OtsLOOK12S	26
LostineR-Smolt	OtsLSTW11S	6
MeadowCr-Smolt	OtsDWOR12S	22
NFClearwaterR-Smolt	OtsDWOR11S	45
NFClearwaterR-Smolt	OtsDWOR12S	228
NPTH-Smolt	OtsDWOR12S	34
NPTH-Smolt	OtsPOWP11S	2
PahsimeroiR-IntSmolt	OtsPAHH11S	4
PahsimeroiR-IntSmolt	OtsPAHH12S	18
PahsimeroiR-SegSmolt	OtsPAHH11S	22
PahsimeroiR-SegSmolt	OtsPAHH12S	30
Powell-Smolt	OtsMCCA12S	107
Powell-Smolt	OtsPOWP11S	4
RapidR-Smolt	OtsDWOR12S	101
RapidR-Smolt	OtsRAPH11S	83
RapidR-Smolt	OtsRAPH12S	381
RapidR-Smolt	OtsRAPH13S	1
RedR-Smolt	OtsCLWH11S	7
RedR-Smolt	OtsCLWH12S	75
SelwayR-Parr	OtsDWOR12S	2
SelwayR-Parr	OtsPOWP11S	6
SelwayR-Parr	OtsPOWP12S	8
SelwayR-Smolt	OtsPOWP11S	6
SelwayR-Smolt	OtsPOWP12S	76
SFSalmonR-IntSmolt	OtsMCCA11S	19
SFSalmonR-IntSmolt	OtsMCCA12S	56
SFSalmonR-SegSmolt	OtsMCCA11S	36
SFSalmonR-SegSmolt	OtsMCCA12S	119
TucannonR-Smolt	OtsLYON12S	9
TucannonR-Smolt	OtsTUCW11S	1
UpperSalmonR-IntSmolt	OtsSAWT11S	13
UpperSalmonR-IntSmolt	OtsSAWT12S	28
UpperSalmonR-SegSmolt	OtsSAWT11S	24
UpperSalmonR-SegSmolt	OtsSAWT12S	196
