PBT_RELEASE_GROUP	PBT_RELEASE_GROUP_TAGRATE	y	c1	c2	c3	c4
2012-SAWT-SalmonR-UpperSalmonR-Int	0.9811	2012	SAWT	SalmonR	UpperSalmonR	Int
2013-RAPH-RAPH-RapidR	0.9851	2013	RAPH	RAPH	RapidR	NA
2013-CLWH-RAPH-RedR	1	2013	CLWH	RAPH	RedR	NA
2013-CLWH-SFSW-Powell-AD	0.9714	2013	CLWH	SFSW	Powell	AD
2013-CLWH-SFSW-Powell-Adint	1	2013	CLWH	SFSW	Powell	Adint
2013-PAHH-PAH-PahsimeroiR-Seg	0.9944	2013	PAHH	PAH	PahsimeroiR	Seg
2013-PAHH-PAH-PahsimeroiR-Int	1	2013	PAHH	PAH	PahsimeroiR	Int
2013-SAWT-SAW-UpperSalmonR-Seg	0.9974	2013	SAWT	SAW	UpperSalmonR	Seg
2013-SAWT-SAW-YankeeForkSalmonR	1	2013	SAWT	SAW	YankeeForkSalmonR	NA
2013-SAWT-SAW-UpperSalmonR-Int	0.9787	2013	SAWT	SAW	UpperSalmonR	Int
2013-MCCA-SFSW-SFSalmonR-Int	0.971	2013	MCCA	SFSW	SFSalmonR	Int
2013-MCCA-SFSW-SFSalmonR-Seg	0.9865	2013	MCCA	SFSW	SFSalmonR	Seg
2013-CLWH-Powell-ClearCr	1	2013	CLWH	Powell	ClearCr	NA
2013-LYON-TUCW-TucannonR	1	2013	LYON	TUCW	TucannonR	NA
2013-LOOK-CTHW-CatherineCr	1	2013	LOOK	CTHW	CatherineCr	NA
2013-LOOK-IMNW-ImnahaR	1	2013	LOOK	IMNW	ImnahaR	NA
2013-LOOK-LSTW-LostineR	0.9412	2013	LOOK	LSTW	LostineR	NA
2013-LOOK-GRUW-GrandeRondeR	0.9848	2013	LOOK	GRUW	GrandeRondeR	NA
2013-NPTH-NPTH-Smolt	1	2013	NPTH	NPTH	Smolt	NA
2013-DWOR-DWOR-NFClearwaterR	0.9495	2013	DWOR	DWOR	NFClearwaterR	NA
2013-KOOS-KOOS-ClearCr	0.9752	2013	KOOS	KOOS	ClearCr	NA
2013-CLWH-SFCW-ClearCr	1	2013	CLWH	SFCW	ClearCr	NA
2013-CLWH-SFCW-RedR	0.9552	2013	CLWH	SFCW	RedR	NA
2013-CLWH-SFCW-SelwayR	1	2013	CLWH	SFCW	SelwayR	NA
2013-LOOK-LKGW-LookingglassCr	0.947	2013	LOOK	LKGW	LookingglassCr	NA
2014-LYON-TUCW-TucannonR	0.7727	2014	LYON	TUCW	TucannonR	NA
2014-RAPH-RAPH-RapidR	0.9938	2014	RAPH	RAPH	RapidR	NA
