PBT_RELEASE_GROUP	y	c1	c2	c3	c4
2012-SAWT-SalmonR-UpperSalmonR-Int	2012	SAWT	SalmonR	UpperSalmonR	Int
2013-CLWH-Powell-ClearCr	2013	CLWH	Powell	ClearCr	NA
2013-CLWH-RAPH-RedR	2013	CLWH	RAPH	RedR	NA
2013-CLWH-SFCW-ClearCr	2013	CLWH	SFCW	ClearCr	NA
2013-CLWH-SFCW-RedR	2013	CLWH	SFCW	RedR	NA
2013-CLWH-SFCW-SelwayR	2013	CLWH	SFCW	SelwayR	NA
2013-CLWH-SFSW-Powell	2013	CLWH	SFSW	Powell	NA
2013-CLWH-SFSW-Powell-AD	2013	CLWH	SFSW	Powell	AD
2013-CLWH-SFSW-Powell-Adint	2013	CLWH	SFSW	Powell	Adint
2013-DWOR-DWOR-NFClearwaterR	2013	DWOR	DWOR	NFClearwaterR	NA
2013-KOOS-KOOS-ClearCr	2013	KOOS	KOOS	ClearCr	NA
2013-LOOK-CTHW-CatherineCr	2013	LOOK	CTHW	CatherineCr	NA
2013-LOOK-GRUW-GrandeRondeR	2013	LOOK	GRUW	GrandeRondeR	NA
2013-LOOK-IMNW-ImnahaR	2013	LOOK	IMNW	ImnahaR	NA
2013-LOOK-LKGW-LookingglassCr	2013	LOOK	LKGW	LookingglassCr	NA
2013-LOOK-LSTW-LostineR	2013	LOOK	LSTW	LostineR	NA
2013-LYON-TUCW-TucannonR	2013	LYON	TUCW	TucannonR	NA
2013-MCCA-SFSW-SFSalmonR-Int	2013	MCCA	SFSW	SFSalmonR	Int
2013-MCCA-SFSW-SFSalmonR-Seg	2013	MCCA	SFSW	SFSalmonR	Seg
2013-NPTH-NPTH-Smolt	2013	NPTH	NPTH	Smolt	NA
2013-PAHH-PAH-PahsimeroiR-Int	2013	PAHH	PAH	PahsimeroiR	Int
2013-PAHH-PAH-PahsimeroiR-Seg	2013	PAHH	PAH	PahsimeroiR	Seg
2013-RAPH-RAPH-RapidR	2013	RAPH	RAPH	RapidR	NA
2013-SAWT-SAW-UpperSalmonR-Int	2013	SAWT	SAW	UpperSalmonR	Int
2013-SAWT-SAW-UpperSalmonR-Seg	2013	SAWT	SAW	UpperSalmonR	Seg
2013-SAWT-SAW-YankeeForkSalmonR	2013	SAWT	SAW	YankeeForkSalmonR	NA
2014-BONN-GRUW-GrandeRondeR	2014	BONN	GRUW	GrandeRondeR	NA
2014-CLWH-CrookedR-Powell	2014	CLWH	CrookedR	Powell	NA
2014-CLWH-KOOS-MillCr	2014	CLWH	KOOS	MillCr	NA
2014-CLWH-Powell-ClearCr	2014	CLWH	Powell	ClearCr	NA
2014-CLWH-Powell-SelwayR-AD	2014	CLWH	Powell	SelwayR	AD
2014-CLWH-Powell-SelwayR-AD/Adint	2014	CLWH	Powell	SelwayR	AD/Adint
2014-CLWH-Powell-SelwayR-Adint	2014	CLWH	Powell	SelwayR	Adint
2014-CLWH-RAPH-Meadow Creek-EggBox	2014	CLWH	RAPH	Meadow Creek	EggBox
2014-CLWH-SFCW-ClearCr	2014	CLWH	SFCW	ClearCr	NA
2014-CLWH-SFCW-NFClearwaterR	2014	CLWH	SFCW	NFClearwaterR	NA
2014-CLWH-SFCW-RedR	2014	CLWH	SFCW	RedR	NA
2014-CLWH-SFCW-SelwayR	2014	CLWH	SFCW	SelwayR	NA
2014-DWOR-DWOR-ClearCr	2014	DWOR	DWOR	ClearCr	NA
2014-DWOR-DWOR-NFClearwaterR	2014	DWOR	DWOR	NFClearwaterR	NA
2014-DWOR-DWOR-SelwayR	2014	DWOR	DWOR	SelwayR	NA
2014-KOOS-KOOS-ClearCr	2014	KOOS	KOOS	ClearCr	NA
2014-LOOK-CTHW-CatherineCr	2014	LOOK	CTHW	CatherineCr	NA
2014-LOOK-GRUW-GrandeRondeR	2014	LOOK	GRUW	GrandeRondeR	NA
2014-LOOK-IMNW-ImnahaR	2014	LOOK	IMNW	ImnahaR	NA
2014-LOOK-LKGW-LookingglassCr	2014	LOOK	LKGW	LookingglassCr	NA
2014-LOOK-LSTW-LostineR	2014	LOOK	LSTW	LostineR	NA
2014-LYON-TUCW-TucannonR	2014	LYON	TUCW	TucannonR	NA
2014-MCCA-NPTH-JohnsonCr	2014	MCCA	NPTH	JohnsonCr	NA
2014-MCCA-SFSalmon-Knox-Int	2014	MCCA	SFSalmon	Knox	Int
2014-MCCA-SFSalmon-Knox-Seg	2014	MCCA	SFSalmon	Knox	Seg
2014-NPTH-NPTH-ClearCr-EggBox	2014	NPTH	NPTH	ClearCr	EggBox
2014-NPTH-NPTH-OrofinoCr-SacFry	2014	NPTH	NPTH	OrofinoCr	SacFry
2014-NPTH-NPTH-Smolt	2014	NPTH	NPTH	Smolt	NA
2014-PAHH-PAHH-PahsimeroiR-Int	2014	PAHH	PAHH	PahsimeroiR	Int
2014-PAHH-PAHH-PahsimeroiR-Seg	2014	PAHH	PAHH	PahsimeroiR	Seg
2014-RAPH-NPTH-NPTH-EggBox	2014	RAPH	NPTH	NPTH	EggBox
2014-RAPH-RAPH-RapidR	2014	RAPH	RAPH	RapidR	NA
2014-SAWT-SAW-UpperSalmonR-Int	2014	SAWT	SAW	UpperSalmonR	Int
2014-SAWT-SAW-UpperSalmonR-Seg	2014	SAWT	SAW	UpperSalmonR	Seg
2014-SAWT-SAW-YankeeForkSalmonR	2014	SAWT	SAW	YankeeForkSalmonR	NA
2015-CLWH-ClearCr-ClearCr-AD	2015	CLWH	ClearCr	ClearCr	AD
2015-CLWH-DWOR-NFClearwaterR-AD	2015	CLWH	DWOR	NFClearwaterR	AD
2015-CLWH-Powell-ClearCr-AD	2015	CLWH	Powell	ClearCr	AD
2015-CLWH-POWELL-SelwayR-AD	2015	CLWH	POWELL	SelwayR	AD
2015-CLWH-POWELL-SelwayR-AD/Adint	2015	CLWH	POWELL	SelwayR	AD/Adint
2015-CLWH-SFCLW-RedR-AD	2015	CLWH	SFCLW	RedR	AD
2015-CLWH-SFCLW-Selway-Fry	2015	CLWH	SFCLW	Selway	Fry
2015-CLWH-SFCLW-SelwayR-AD	2015	CLWH	SFCLW	SelwayR	AD
2015-CLWH-SFCLW-SelwayR-AD/Adint	2015	CLWH	SFCLW	SelwayR	AD/Adint
2015-CLWH-SFCLW-SFClearwater-Fry	2015	CLWH	SFCLW	SFClearwater	Fry
2015-CLWH-SFSAL-Powell-AD	2015	CLWH	SFSAL	Powell	AD
2015-CLWH-SFSAL-Powell-AD/Adint	2015	CLWH	SFSAL	Powell	AD/Adint
2015-CLWH-SFSAL-Powell-AD/CWT_Selway AD/Adint	2015	CLWH	SFSAL	Powell	AD/CWT_Selway AD/Adint
2015-CLWH-SFSAL-Powell-Adint	2015	CLWH	SFSAL	Powell	Adint
2015-CLWH-SFSAL-SelwayR-AD/Adint	2015	CLWH	SFSAL	SelwayR	AD/Adint
2015-CLWH-SFSAL-SelwayR-AD/ADint	2015	CLWH	SFSAL	SelwayR	AD/ADint
2015-CLWH-SFSAL-SelwayR-Parr	2015	CLWH	SFSAL	SelwayR	Parr
2015-DWOR-DWOR-ClearwaterR	2015	DWOR	DWOR	ClearwaterR	NA
2015-DWOR-DWOR-Selway-Parr	2015	DWOR	DWOR	Selway	Parr
2015-KOOS-DWOR-ClearCr	2015	KOOS	DWOR	ClearCr	NA
2015-LOOK-CTHW-CatherineCr	2015	LOOK	CTHW	CatherineCr	NA
2015-LOOK-GRUW-GrandeRonde	2015	LOOK	GRUW	GrandeRonde	NA
2015-LOOK-IMNW-Imnaha	2015	LOOK	IMNW	Imnaha	NA
2015-LOOK-LKGW-LookingGlass	2015	LOOK	LKGW	LookingGlass	NA
2015-LOOK-LSTW-Lostine	2015	LOOK	LSTW	Lostine	NA
